Estacao,Data,Hora,Precipitacao
83781,01/09/1963,1200,0
83781,02/09/1963,1200,0
83781,03/09/1963,1200,0
83781,04/09/1963,1200,0
83781,05/09/1963,1200,0
83781,06/09/1963,1200,0
83781,07/09/1963,1200,0
83781,08/09/1963,1200,0
83781,09/09/1963,1200,0
83781,10/09/1963,1200,0
83781,11/09/1963,1200,0
83781,12/09/1963,1200,0
83781,13/09/1963,1200,0
83781,14/09/1963,1200,0
83781,15/09/1963,1200,0
83781,16/09/1963,1200,0
83781,17/09/1963,1200,0
83781,18/09/1963,1200,0
83781,19/09/1963,1200,0
83781,20/09/1963,1200,0
83781,21/09/1963,1200,0
83781,22/09/1963,1200,0.3
83781,23/09/1963,1200,0.3
83781,24/09/1963,1200,0
83781,25/09/1963,1200,0
83781,26/09/1963,1200,0
83781,27/09/1963,1200,2.7
83781,28/09/1963,1200,2.1
83781,29/09/1963,1200,1.2
83781,30/09/1963,1200,0
83781,01/10/1963,1200,2.3
83781,02/10/1963,1200,0
83781,03/10/1963,1200,0
83781,04/10/1963,1200,0
83781,05/10/1963,1200,8.9
83781,06/10/1963,1200,1.4
83781,07/10/1963,1200,9.5
83781,08/10/1963,1200,0
83781,09/10/1963,1200,0
83781,10/10/1963,1200,0
83781,11/10/1963,1200,0
83781,12/10/1963,1200,0
83781,13/10/1963,1200,0
83781,14/10/1963,1200,0
83781,15/10/1963,1200,0
83781,16/10/1963,1200,0
83781,17/10/1963,1200,0
83781,18/10/1963,1200,10.1
83781,19/10/1963,1200,1.2
83781,20/10/1963,1200,0.1
83781,21/10/1963,1200,0
83781,22/10/1963,1200,45.2
83781,23/10/1963,1200,3.8
83781,24/10/1963,1200,0
83781,25/10/1963,1200,0
83781,26/10/1963,1200,0
83781,27/10/1963,1200,8.6
83781,28/10/1963,1200,8.1
83781,29/10/1963,1200,0
83781,30/10/1963,1200,0
83781,31/10/1963,1200,0
83781,01/11/1963,1200,0
83781,02/11/1963,1200,0
83781,03/11/1963,1200,0
83781,04/11/1963,1200,0
83781,05/11/1963,1200,0
83781,06/11/1963,1200,0
83781,07/11/1963,1200,0
83781,08/11/1963,1200,4.6
83781,09/11/1963,1200,1.5
83781,10/11/1963,1200,2.8
83781,11/11/1963,1200,9
83781,12/11/1963,1200,0
83781,13/11/1963,1200,0
83781,14/11/1963,1200,16.7
83781,15/11/1963,1200,0
83781,16/11/1963,1200,18.9
83781,17/11/1963,1200,0
83781,18/11/1963,1200,15
83781,19/11/1963,1200,8
83781,20/11/1963,1200,0.3
83781,21/11/1963,1200,20.5
83781,22/11/1963,1200,0
83781,23/11/1963,1200,0
83781,24/11/1963,1200,0
83781,25/11/1963,1200,0
83781,26/11/1963,1200,0
83781,27/11/1963,1200,15
83781,28/11/1963,1200,0
83781,29/11/1963,1200,0
83781,30/11/1963,1200,6.2
83781,01/12/1963,1200,0
83781,02/12/1963,1200,1.2
83781,03/12/1963,1200,0
83781,04/12/1963,1200,3.7
83781,05/12/1963,1200,0
83781,06/12/1963,1200,21.2
83781,07/12/1963,1200,0
83781,08/12/1963,1200,20.4
83781,09/12/1963,1200,0.3
83781,10/12/1963,1200,0
83781,11/12/1963,1200,0
83781,12/12/1963,1200,0.2
83781,13/12/1963,1200,3.8
83781,14/12/1963,1200,0
83781,15/12/1963,1200,0
83781,16/12/1963,1200,0
83781,17/12/1963,1200,0
83781,18/12/1963,1200,0
83781,19/12/1963,1200,0
83781,20/12/1963,1200,2.6
83781,21/12/1963,1200,0
83781,22/12/1963,1200,0
83781,23/12/1963,1200,0
83781,24/12/1963,1200,0
83781,25/12/1963,1200,0
83781,26/12/1963,1200,0
83781,27/12/1963,1200,0
83781,28/12/1963,1200,0
83781,29/12/1963,1200,0
83781,30/12/1963,1200,0
83781,31/12/1963,1200,17.4
83781,01/01/1964,1200,0
83781,02/01/1964,1200,2.7
83781,03/01/1964,1200,1.4
83781,04/01/1964,1200,0
83781,05/01/1964,1200,0
83781,06/01/1964,1200,0
83781,07/01/1964,1200,0
83781,08/01/1964,1200,1.7
83781,09/01/1964,1200,0
83781,10/01/1964,1200,0
83781,11/01/1964,1200,0
83781,12/01/1964,1200,0
83781,13/01/1964,1200,0
83781,14/01/1964,1200,0
83781,15/01/1964,1200,0
83781,16/01/1964,1200,0
83781,17/01/1964,1200,0.1
83781,18/01/1964,1200,0
83781,19/01/1964,1200,0
83781,20/01/1964,1200,0
83781,21/01/1964,1200,0
83781,22/01/1964,1200,0
83781,23/01/1964,1200,36.1
83781,24/01/1964,1200,9.5
83781,25/01/1964,1200,0
83781,26/01/1964,1200,16.7
83781,27/01/1964,1200,26.6
83781,28/01/1964,1200,0
83781,29/01/1964,1200,0
83781,30/01/1964,1200,0
83781,31/01/1964,1200,0
83781,01/02/1964,1200,6
83781,02/02/1964,1200,4.8
83781,03/02/1964,1200,8.8
83781,04/02/1964,1200,2
83781,05/02/1964,1200,0
83781,06/02/1964,1200,0
83781,07/02/1964,1200,0
83781,08/02/1964,1200,4.2
83781,09/02/1964,1200,0.1
83781,10/02/1964,1200,0
83781,11/02/1964,1200,0
83781,12/02/1964,1200,4.7
83781,13/02/1964,1200,32.6
83781,14/02/1964,1200,31.1
83781,15/02/1964,1200,19.7
83781,16/02/1964,1200,4.8
83781,17/02/1964,1200,12.9
83781,18/02/1964,1200,0.9
83781,19/02/1964,1200,7.5
83781,20/02/1964,1200,61.8
83781,21/02/1964,1200,8.3
83781,22/02/1964,1200,0.4
83781,23/02/1964,1200,0
83781,24/02/1964,1200,0
83781,25/02/1964,1200,0
83781,26/02/1964,1200,0
83781,27/02/1964,1200,0
83781,28/02/1964,1200,17.7
83781,29/02/1964,1200,2.4
83781,01/03/1964,1200,0.6
83781,02/03/1964,1200,0
83781,03/03/1964,1200,0
83781,04/03/1964,1200,0
83781,05/03/1964,1200,0
83781,06/03/1964,1200,0
83781,07/03/1964,1200,0
83781,08/03/1964,1200,4.9
